sample_id,direct_correct,jfs_correct,mpfsplus_correct,paired_category,observed_mpfsplus_failure_stage,observed_mpfsplus_failure_reason,hypothesized_baseline_advantage,baseline_advantage_requires_manual_audit
final_virtual_036,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_virtual_037,1,1,1,ALL_CORRECT,,,,0
final_virtual_038,0,1,1,MP_CORRECT_DIRECT_WRONG,,,,0
final_virtual_039,1,1,1,ALL_CORRECT,,,,0
final_virtual_040,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_MISSING_ROW,,1
final_virtual_041,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_virtual_042,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_virtual_043,1,1,1,ALL_CORRECT,,,,0
final_virtual_044,1,1,1,ALL_CORRECT,,,,0
final_virtual_045,1,1,1,ALL_CORRECT,,,,0
final_virtual_046,0,0,0,ALL_WRONG,,,,0
final_virtual_047,1,1,0,DIRECT_J_CORRECT_MP_WRONG,state_mismatch,STATE_WRONG_CONFLICT_BEHAVIOR,,1
final_virtual_048,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,TARGET_MISSING_COLUMN,,1
final_virtual_049,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_virtual_050,1,1,0,DIRECT_J_CORRECT_MP_WRONG,reference_resolution,REF_UNKNOWN_COLUMN,,1
final_virtual_051,1,1,1,ALL_CORRECT,,,,0
final_virtual_052,1,1,1,ALL_CORRECT,,,,0
final_virtual_053,1,1,1,ALL_CORRECT,,,,0
final_virtual_054,1,1,1,ALL_CORRECT,,,,0
final_virtual_055,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_virtual_056,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_virtual_057,1,1,0,DIRECT_J_CORRECT_MP_WRONG,verification,CONFLICT_MISSING,,1
final_virtual_058,1,1,1,ALL_CORRECT,,,,0
final_virtual_059,1,1,1,ALL_CORRECT,,,,0
final_virtual_060,1,1,1,ALL_CORRECT,,,,0
