sample_id,source_group,legacy_payload_hash,D_payload_hash,changed
aug_seed_000171_small_batch_subset_001,seed_000171,3582a8c04df5dcfc4a2f5f7dfaf84d40cf923991e2005b8d12b6a5a11549085a,3582a8c04df5dcfc4a2f5f7dfaf84d40cf923991e2005b8d12b6a5a11549085a,0
seed_000051,seed_000051,33a10da31023daf5eb237ebb76a0287e658c56525226d5252c2c147711151445,33a10da31023daf5eb237ebb76a0287e658c56525226d5252c2c147711151445,0
seed_000040,seed_000040,79793aa92aa56b5c3ce5e774a19c92dba9c69af6c587f5f52b4975a9ebcd411d,79793aa92aa56b5c3ce5e774a19c92dba9c69af6c587f5f52b4975a9ebcd411d,0
aug_seed_000035_relational_format_variant_002,seed_000035,9779f91e7ff3e96de3252d15532b13731ea623eb8ec1d8ca0a6ff803e10471d2,9779f91e7ff3e96de3252d15532b13731ea623eb8ec1d8ca0a6ff803e10471d2,0
aug_seed_000148_small_batch_subset_001,seed_000148,ff94e39ab5cf86e259f6c725383cea18bd03e0d671568319cbd7b5584089ed8a,ff94e39ab5cf86e259f6c725383cea18bd03e0d671568319cbd7b5584089ed8a,0
aug_seed_000303_small_batch_subset_001,seed_000303,f9b4e28a90604c04ce997bdd342cc61938acf8e72d974340652e761e1238bd51,f9b4e28a90604c04ce997bdd342cc61938acf8e72d974340652e761e1238bd51,0
aug_seed_000119_single_row_subset_001,seed_000119,31e67bd6d6cbd9b22eb1eabc2d5c51edc50e370afedde50c1f225365843e0ffa,31e67bd6d6cbd9b22eb1eabc2d5c51edc50e370afedde50c1f225365843e0ffa,0
seed_000193,seed_000193,a40486c59bf25d53a4fc079ae932e391491895f7f0530c0d536c0ea71b196962,a40486c59bf25d53a4fc079ae932e391491895f7f0530c0d536c0ea71b196962,0
aug_seed_000161_single_row_subset_001,seed_000161,a4d97f3a6fae240ddc0a25a37929e14f9e87b8de6409cca0a1574bed30da4b1a,a4d97f3a6fae240ddc0a25a37929e14f9e87b8de6409cca0a1574bed30da4b1a,0
seed_000165,seed_000165,5b75f688b9a91724c638e046363f4d021ee7d04a35d9ca8ffca256f7112da0c4,5b75f688b9a91724c638e046363f4d021ee7d04a35d9ca8ffca256f7112da0c4,0
aug_seed_000110_single_row_subset_002,seed_000110,338a5463a4ea314778150a6c3b63ad3f312fc80b1abd72bad7ea2eebde06def3,338a5463a4ea314778150a6c3b63ad3f312fc80b1abd72bad7ea2eebde06def3,0
aug_seed_000062_single_row_subset_001,seed_000062,68626a1b4759ecd706806768650fd1c33928255ed8bf876cdcb711073923fa4a,68626a1b4759ecd706806768650fd1c33928255ed8bf876cdcb711073923fa4a,0
